Item Name,Price,painting,pet,green,stone,image,wood,blue,comes,process,ship,photos,days,send,ring,around,bag,inside,additional,two,cut,via,shipped,original,custom,beautiful,first,thank,set,work,water,box,hand,piece,within,create,quality,gold,leather,wedding,sterling,way,unique,photo
Top Etsy sellers  425 Etsy Top selling shops Wood and plywood products,3.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16  round door hanger   Front porch decor   housewarming gift   Best selling items handmade   Outdoor furnishings   Mothers day gift   sign,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
personalized real estate agent sign  custom real estate sold sign  real estate marketing sign   best selling items wood,39.99,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
Best Selling Items Top Selling Items Trump Mug Christmas Gifts for Men Funny Christmas Gifts for Him Husband Gifts for Dad Donald Trump,14.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Turtle Sculpture Paperweight Turtles Best Selling Items Ocean Beach Decor Lampwork Nautical Gift or Gifts,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stocking stuffer for women   POCKET MIRROR   best selling items handmade mom gifts best seller women stocking stuffer mom women gift,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lemon kitchen towel handmade  lemon bathroom towel  flour sack dish towel  mothers day from daughter  best selling items  modern farmhouse,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladybug Earrings  Best Selling Items  Granddaughter Gifts  Polymer Clay Earrings,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
Disc Charm Necklace Mothers Day Gift Best Selling Items Family Tree Necklace Personalized Jewelry Charm Necklace Gifts For Mom   CN,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Top Selling    Best Selling Items  Most Sold Items  Top Selling Shops  Most Popular Item  Most Sold  Top Sellers  Best Seller  Etsy Sold,19.99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Microwave Baked Potato Bag  Large  Potato Bag  Potato Print  Tan Potato Sack  Handmade  Kitchen Utensil  Cotton  Gift Best Selling Items,11.75,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
horse mom shirt  cute horse shirts  just a girl who loves horses shirt  horse svg  best selling items  equestrian shirts  equestrian items,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zodiac Jewelry  Constellation Skies  Constellation  Wanderlust  Aries Bracelet  Wanderlust Gift  Adventure Awaits  Best Selling Items,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Library Card Pillows    Librarian Gift    Reading    Book Lover    Bookish    Bibliophile    Reader    Bookworm    Best Selling Item,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Best selling items  Top selling shops on Etsy Photo  205 Top selling Etsy Photography ,1.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
But First WiFi WiFi Home Decor Printable Wall Art Digital Download WiFi Password WiFi Sign Guest Room Sign Decor Wall Art Best Selling Items,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green handbag  tote bag converts to hobo  shoulder bag  diaper bag  fabric purse  everyday bag  best selling items,115,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
OWL NOTE CARDS set notecards owl illustrations art greeting card blank card set   boygirlparty bestseller Best selling items  owl cards,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Body Scrub  Best Selling Items  Mermaid Body Scrub  Sugar Scrub  Gift For Women  Mermaid Gift  Natural Body Scrub,15.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring handbags  tote bag converts to hobo  shoulder bag  diaper bag  fabric purse  burnt orange bag  best selling items  ready to ship,115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10  SALE Best selling item   4 twisted ring pendants  ring connectors  circle rings  metal hoops  jewelry P1115 MG,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
felt purses and bags  purses for women  felt bag  crossbody bags  leather handbag  leather strap  felt purse  best selling items handmade,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leather Journal   Stocking stuffers for men or Stocking stuffers for women  Christmas gift Ideas  free shipping Canada  best selling items,44.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Starbucks Cold Cup   Personalized   Venti Cold Cup   Personalized Tumbler   Best Selling Items   Gift Ideas,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best selling items Etsy bestsellers 2020 Top selling items Trending now Most sold items Best sellers Most popular right now Trends A9F,29.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SALE     Best Selling Items   Top selling   Valentine s Day for book lovers   Ready to ship   Valentines Day Present   Last Minute Present,80,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Best Selling Items Handmade Best Friend Gifts Rustic Holiday Decor Mothers Day Gifts Popular Right Now Unique Long Distance Relationship,49.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Best selling items baby girl coming home outfit accessory by Infanteenie Beenie   baby girl or baby coming home outfit newborn hat,19.99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Top selling shops  Top selling Etsy   Best selling items   Best sellers on Etsy  Top sellers  Etsy top sellers  Best selling Etsy,1.5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dandelion Wall Art  Printable Wall Art Print  Printable Art  Best Selling Items  Instant Download  Digital Download  Poster  Digital Print,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brooch Bouquet Embroidered brooch Best selling items handmade Beaded crystal brooch Crystal beads brooch Diy brooch Handmade jewlery Broach,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1
Cunt mug  Feminist mug  Best selling items  Unique coffee mug Leaving gift Personalized gift Best friend gift Handmade mug popular right now,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Gold Necklace  Gold pinecone Necklace Dainty Gold Necklace Delicate Necklace Birthday Gift Bridesmaid gift  BUZZFEED  Best selling items,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Kitchen Towels   Grandma Gift   Fun Kitchen Towels   Gift for Nana   Best Selling Items,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Mother s day Gift  Mum Gifts  unique gifts for mother s day  Docking Station  Gifts for mother  Best selling items  wooden organizer station,60.49,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
I Get Us Into Trouble Get Us Out Of Trouble Matching Best Friend Gift Womens T Shirt For Besties Friends Free Shipping,22.05,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Ocean Rain Scented Soap  Handmade Soap  Natural Ingredients  Beach Themed Soap  Best Selling Item,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3 multi sized reclaimed wooden boxes  fits quart mason jars  best selling items  rustic barn wedding centerpiece  card box,32.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Red and White Swirl Crochet Coasters  Holiday Drink Cotton Coasters  Round Mug Rugs  Best Selling Items,5.25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Popular Right Now   Real Bullet Pen   Personalized Wood Gift Box   Best Selling Items Handmade   trending now,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Body Scrub  Best Selling Items  Cannabis Body Scrub  Sugar Scrub  Gift For Women  420 Gift  Natural Body Scrub,15.99,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best selling items Top selling shops Top selling Etsy Best sellers Most sold items  Best sellers on Etsy Top sellers Etsy top sellers,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Chevron earrings  chevron studs earrings  geometric earrings  minimalist earrings  gift for her  best selling items,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Car Seat Cover Front Saddle Blanket Comfort Covers Yellow Sunflower Print Best Selling Items,39.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cheetah Tapered yogaHeadband  hippie headband  Running Headband  Womens Headband  Boho Headband  Best Selling Items ,14.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Jewelry Marketing Strategy Plan  Best Seller Jewelry Marketing Plan  Jewelry Business Planner  Jewelry Sales Promotion Jewelry Shop Plan,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Top Etsy selling shops  Etsy best selling items  Set 3 pdf files Etsy top 50  crochet  knitting,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
personalized real estate agent sign  custom real estate sold sign  real estate marketing sign   best selling items wood,39.99,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
Funny Kitchen Art   Kitchen Wall Art   Kitchen Decor   Best Selling Items   Gift for Her   Teacher Gift   New Home Gift   Gifts for Her,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHITE BIRCH   eucalyptus   soy candles handmade   wanderlust   nature lover gift   mindfulness gift   best selling items   unique candles,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Crochet Rainbow Washcloths  9 inch 100  Cotton Crochet Dishcloths  Country Kitchen Decor  Vintage Style  Best Selling Items,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Book Art   Best Selling Item    Inspirational Quote   Unique Present   Book Lover   Handmade   Inspire   Or Your Choice of Words,180,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Sunflower Crochet Coasters  100  Cotton Crochet Drink Coasters  Mug Rugs  Fall Decorating  Sunflowers Decor  Best Selling Items,5.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pet portrait custom Dog portrait digital Best selling items handmade by Tania Top selling items Most sold items,52.49,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Cast iron garden bell  3rd anniversary  best selling items  garden decor  unique gift for her,10.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top Etsy sellers in HANDMADE category Top selling handmade shops Most popular handmade stores Best selling handmade shops Top crafts A9F,4.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
JASMINE LEMONGRASS   soy candles handmade   best selling items   mental health   self care   himalayan salt   anxiety   unique candles,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Life is better by the campfire  camping cup  clamping cup  camping tumbler  stainless tumbler  outdoorsy cup  best selling items  wino gift,18.95,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nursery printable art You are so loved printable quote Baby Girl baby boy Nursery decor nursery digital download art best selling items,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pine Tree Jewelry  Nature Necklace  Best Selling Items Handmade  1st Anniversary Gift for Girlfriend ,79.95,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
16  round door hanger   Front porch decor   housewarming gift   Best selling items handmade   Outdoor furnishings   Mothers day gift   sign,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Sterling Silver Rose Necklace  Valentines Jewelry Gift For Her  Necklace Dainty  Flower Necklace  Best Selling Items  Floral Necklace,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Best Selling Items  Best Selling Jewelry  Best Sellers in Jewelry  Best Selling Handmade Jewelry Bracelet Best Sellers Best Selling Bracelet,125,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1
personalized real estate agent sign  custom real estate sold sign  real estate marketing sign   best selling items wood  brand logo sign,39.99,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1
Nursery Wall Art  Home Decor Best Selling Item  astronaut nursery  outer space wall art  astronaut wall art nursery wall art  space wall art,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Crochet basket  small desk items  best selling items handmade,20,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Top Etsy sellers in CROCHET   KNITTING category Top selling Crochet shops Most popular Knitting stores Best selling Etsy shops Popular now,3.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5 multi sized wood boxes  farmhouse and rustic country home decor  best selling items  rustic country wedding centerpiece  card box,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Multi pack three wooden trinket boxes  rustic country wedding reception  succulent planter  best selling item  centerpiece  candle holder,20.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Matt Gold Oyster charm 10x13mm  DIY jewelry making  Charm for bracelet DIY jewelry supply  Mens jewelry supply set  Best selling items  SHLK,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Easter Bunny crochet pattern  Amigurumi Bunny pattern  Best selling items handmade,4.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best Selling Items Handmade  Unique Gifts for Sister Birthday  Bow Clutch with Handle  Self Gift  Anniversary Gift for Wife,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Weekly Planner   New Job Gift   Best Selling Items   Susie Ghahremani   2021 Weekly Desk Planner Pad   You Got This   Cute Office Supplies,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Do Epic Shit Printable Wall Art Print  Digital Print  Digital Download  Printable Art  Best Selling Items  Instant Download  Poster,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gift For Women  Digital download  Portrait from photo  Gift Ideas  Best selling items  Digital Prints  Personalized Gift  Printable Wall Art,14.76,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
Zero fucks left  sarcastic wood magnet  best selling items  birthday fits for bestie  wood fridge magnets  for cancer survivor ,8.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSTOM portrait from photo   Personalized Dog portrait   Original Painting of your Pet   Gift for dog lovers   Best selling items handmade,49.99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Best Selling Items  Wall Art Prints  Modern Minimalist  Abstract Art Prints  Blue Decor  Contemporary Artwork  Most Popular Items  Trending,28,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Personalized Luggage Tags Wanderlust Best Friend Gift For Her Bridesmaid Gift Birthday Gift Handmade Best Selling Items Top Selling Items,35,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
WHITE BIRCH   eucalyptus   soy candles handmade   wanderlust   nature lover gift   mindfulness gift   best selling items   unique candles,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Best selling items  Top selling shops on Etsy Photo  205 Top selling Etsy Photography ,1.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nursery Prints Typography Print Inspirational Prints Best Selling Items super Quotes Print black white nursery prints superhero printable,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
MANDARIN MIMOSA   mindfulness gift   top selling items   apothecary  soy candles handmade nature lover gift best selling items unique candle,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Be a superhero tame a dinosaur hunt for treasures fly to the moon  Mini Learners  best selling items kids room decor nursery printable quote,4.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Milestone Set  Best Selling Items Baby Girl  Just Born  Pink Hearts Baby Set  Baby shower gift  Birthday Gift  New Moms  First Baby Gift,110,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
